City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barrow,US,71.2906,-156.7887,50.02,77,90,11.5,overcast clouds
80,Nanortalik,GL,60.1432,-45.2371,48.15,80,100,11.1,overcast clouds
81,Karratha,AU,-20.7377,116.8463,59.11,52,0,11.74,clear sky
82,Gatbo,PH,13.5833,123.3833,79.21,88,100,10.16,moderate rain
83,Faya,SA,18.3851,42.4509,64.92,68,98,3.62,overcast clouds
84,Konevo,RU,62.1215,39.3192,55.2,99,100,5.08,overcast clouds
85,Aswan,EG,24.0934,32.907,91.24,14,4,7.29,clear sky
86,Khandbari,NP,27.3747,87.2039,72.16,96,90,0.74,overcast clouds
87,Rabo De Peixe,PT,37.8,-25.5833,72.91,94,75,11.5,broken clouds
88,Sitka,US,57.0531,-135.33,64.29,68,75,5.75,broken clouds
89,Kodiak,US,57.79,-152.4072,57.54,90,94,6.4,overcast clouds
90,Staryy Nadym,RU,65.6118,72.6842,57.54,89,100,10.58,light rain
91,Lagos,NG,6.5833,3.75,79.12,90,81,3.18,broken clouds
92,Yulara,AU,-25.2406,130.9889,51.64,43,0,10.36,clear sky
93,Rayagada,IN,19.1667,83.4167,77.76,79,96,3.02,overcast clouds
94,Vila Velha,BR,-20.3297,-40.2925,71.96,69,75,6.91,broken clouds
95,Mildura,AU,-34.2,142.15,50.07,87,0,11.5,clear sky
96,Hilo,US,19.7297,-155.09,82.13,69,40,11.5,light rain
97,Najran,SA,17.4924,44.1277,86.65,41,100,10.18,overcast clouds
98,Khromtau,KZ,50.2503,58.4347,72.95,52,24,9.8,few clouds
99,Asosa,ET,10.0667,34.5333,60.19,82,100,3.15,overcast clouds
100,Codrington,AU,-38.2667,141.9667,46.09,81,0,16.78,clear sky
101,Tabuk,PH,17.4189,121.4443,79.65,80,100,1.28,overcast clouds
102,Chuy,UY,-33.6971,-53.4616,49.6,93,25,5.5,scattered clouds
103,San Jeronimo,PE,-11.9472,-75.2829,51.64,62,90,6.22,overcast clouds
104,Port Hedland,AU,-20.3167,118.5667,60.85,41,0,10.36,clear sky
105,Yellowknife,CA,62.456,-114.3525,89.33,29,20,1.01,few clouds
106,Bethel,US,41.3712,-73.414,72.81,87,90,3.44,overcast clouds
107,Zeya,RU,53.75,127.2667,55.35,98,100,2.86,overcast clouds
108,Grants,US,35.1473,-107.8514,77.23,38,1,5.75,clear sky
109,Maridi,SS,4.9158,29.4742,65.48,98,85,5.41,light rain
110,Chokurdakh,RU,70.6333,147.9167,42.28,63,39,8.32,scattered clouds
111,Tessalit,ML,20.1986,1.0114,86.22,42,6,11.23,clear sky
112,Kampot,KH,10.6167,104.1833,77.05,82,100,10.74,overcast clouds
113,Nuuk,GL,64.1835,-51.7216,59.61,58,90,5.75,overcast clouds
114,Itatskiy,RU,56.07,89.0369,57.52,77,55,2.84,broken clouds
115,Pisco,PE,-13.7,-76.2167,63.01,82,0,11.5,clear sky
116,Pimentel,PE,-6.8367,-79.9342,68.29,82,20,3.0,few clouds
117,Iranshahr,IR,27.2025,60.6848,92.43,43,11,4.43,few clouds
118,Tasiilaq,GL,65.6145,-37.6368,51.96,77,50,4.88,scattered clouds
119,Faanui,PF,-16.4833,-151.75,77.63,68,30,14.38,scattered clouds
120,Thompson,CA,55.7435,-97.8558,84.36,32,20,12.66,smoke
121,Saint-Philippe,RE,-21.3585,55.7679,67.55,76,49,7.78,scattered clouds
122,Pitimbu,BR,-7.4706,-34.8086,73.99,78,4,16.8,clear sky
123,Santa Cruz,BO,-17.8,-63.1667,69.26,39,20,6.91,smoke
124,Grindavik,IS,63.8424,-22.4338,53.56,93,90,3.44,overcast clouds
125,Torbay,CA,47.6666,-52.7314,65.57,75,46,3.0,scattered clouds
126,Kabwe,ZM,-14.4469,28.4464,53.67,79,1,4.72,clear sky
127,Ishigaki,JP,24.3448,124.1572,80.73,100,75,3.44,broken clouds
128,Strezhevoy,RU,60.7333,77.5889,55.38,80,100,6.33,overcast clouds
129,Zambezi,ZM,-13.5432,23.1047,56.98,51,2,5.77,clear sky
130,Sao Filipe,CV,14.8961,-24.4956,76.01,76,9,4.5,clear sky
131,Muros,ES,42.7762,-9.0603,66.16,86,100,6.31,overcast clouds
132,Hithadhoo,MV,-0.6,73.0833,81.34,71,92,7.78,overcast clouds
133,Keti Bandar,PK,24.1447,67.4497,81.55,84,97,21.77,overcast clouds
134,Champaign,US,40.1334,-88.2001,78.87,50,1,9.22,clear sky
135,Fortuna,US,40.5982,-124.1573,71.92,69,20,8.01,few clouds
136,Tsumeb,NA,-19.2333,17.7167,42.35,32,0,9.04,clear sky
137,Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,0,13.8,clear sky
138,Cabo San Lucas,MX,22.8909,-109.9124,96.8,66,20,5.01,few clouds
139,Georgetown,MY,5.4112,100.3354,75.88,90,20,0.0,few clouds
140,Bonavista,CA,48.6499,-53.1147,65.12,75,77,19.62,broken clouds
141,Mirnyy,RU,62.5353,113.9611,65.34,54,100,8.16,overcast clouds
142,Arman,RU,59.7,150.1667,56.7,45,2,20.18,clear sky
143,Nyurba,RU,63.2842,118.3319,67.53,55,100,6.6,overcast clouds
144,Gobabis,NA,-22.45,18.9667,49.5,41,0,9.91,clear sky
145,Nichinan,JP,31.6,131.3667,82.08,82,67,3.0,broken clouds
146,Tabou,CI,4.423,-7.3528,76.6,79,90,6.31,overcast clouds
147,Hovd,MN,48.0056,91.6419,54.32,63,4,2.06,clear sky
148,Mehamn,NO,71.0357,27.8492,44.83,93,100,19.42,moderate rain
149,Quatre Cocos,MU,-20.2078,57.7625,68.11,66,53,14.5,broken clouds
150,Bac Lieu,VN,9.285,105.7244,78.78,85,64,10.96,broken clouds
151,Sistranda,NO,63.7256,8.834,50.9,69,100,12.15,light rain
152,Kenai,US,60.5544,-151.2583,74.03,53,1,8.05,clear sky
153,Hirara,JP,24.8,125.2833,79.07,100,75,8.05,moderate rain
154,Bredasdorp,ZA,-34.5322,20.0403,56.52,82,86,2.3,overcast clouds
155,Port Hardy,CA,50.6996,-127.4199,66.38,72,20,13.8,few clouds
156,Saint-Augustin,CA,51.226,-58.6502,59.49,82,89,14.36,overcast clouds
157,Aldan,RU,58.6031,125.3894,53.58,97,100,3.91,moderate rain
158,Talisay,PH,10.2447,123.8494,82.36,78,99,10.38,overcast clouds
159,Haines Junction,CA,60.7522,-137.5108,81.32,27,16,7.18,few clouds
160,San Bartolome De Tirajana,ES,27.9248,-15.5733,62.31,80,40,26.46,scattered clouds
161,Pevek,RU,69.7008,170.3133,33.73,95,100,16.2,overcast clouds
162,Taoudenni,ML,22.6783,-3.9836,99.52,26,89,16.73,overcast clouds
163,Nome,US,64.5011,-165.4064,55.11,94,90,13.8,moderate rain
164,Pandan,PH,14.0453,124.1694,83.25,76,100,13.13,overcast clouds
165,Kamenskiy,RU,50.8855,45.488,74.16,56,33,6.87,scattered clouds
166,Cherskiy,RU,68.75,161.3,39.51,73,96,19.64,overcast clouds
167,Kropotkin,RU,45.4375,40.5756,76.06,42,50,5.99,scattered clouds
168,Saskylakh,RU,71.9167,114.0833,74.61,42,0,3.47,clear sky
169,Cabudare,VE,10.0289,-69.0894,91.65,95,65,7.0,broken clouds
170,Aykhal,RU,66.0,111.5,71.15,37,59,5.41,broken clouds
171,Airai,TL,-8.9266,125.4092,61.36,74,21,3.74,few clouds
172,Cayenne,GF,4.9333,-52.3333,83.08,80,0,1.99,clear sky
173,Gimry,RU,42.7597,46.8396,69.53,76,99,6.33,overcast clouds
174,Te Anau,NZ,-45.4167,167.7167,45.88,89,99,1.61,moderate rain
175,Kawalu,ID,-7.3817,108.2082,70.79,96,90,0.74,overcast clouds
176,Hobart,AU,-42.8794,147.3294,44.11,84,75,1.01,broken clouds
177,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,6.91,broken clouds
178,Cravo Norte,CO,6.3017,-70.2041,74.64,90,65,5.66,broken clouds
179,Forbes,AU,-33.3833,148.0167,45.05,82,0,6.38,clear sky
180,Grand Gaube,MU,-20.0064,57.6608,68.4,67,27,20.07,scattered clouds
181,Nikolskoye,RU,59.7035,30.7861,62.02,93,40,4.9,light rain
182,Dingle,PH,10.9995,122.6711,80.51,84,100,10.02,overcast clouds
183,Azare,NG,11.6765,10.1948,73.15,90,96,12.75,moderate rain
184,Iquitos,PE,-3.7481,-73.2472,78.84,78,75,4.61,broken clouds
185,Aklavik,CA,68.2191,-135.0107,78.78,39,99,15.5,overcast clouds
186,Chumikan,RU,54.7183,135.315,55.83,79,100,2.44,overcast clouds
187,Port Alfred,ZA,-33.5906,26.891,61.25,82,46,25.37,scattered clouds
